Date,Disease,Frequency,Average Age,StdDev Age,Subdistrict
2016-03-29,J18.0,1,2.0,0.0,7
2016-03-31,J18.0,1,1.0,0.0,2
2016-04-01,J18.0,1,2.0,0.0,3
2016-04-03,J18.0,1,26.0,0.0,2
2016-04-07,J18.0,3,2.3333333333333335,0.4714045207910317,6
2016-04-10,J18.0,1,67.0,0.0,5
2016-04-11,J18.0,2,9.0,6.0,5
2016-04-12,J18.0,1,67.0,0.0,5
2016-04-15,J18.0,1,1.0,0.0,6
2016-04-17,J18.0,1,2.0,0.0,1
2016-04-18,J18.0,1,63.0,0.0,5
2016-04-23,J18.0,1,37.0,0.0,4
2016-04-28,J18.0,2,25.0,24.0,4
2016-04-30,J18.0,1,3.0,0.0,3
2016-05-03,J18.0,1,2.0,0.0,4
2016-05-04,J18.0,1,1.0,0.0,5
2016-05-06,J18.0,1,81.0,0.0,5
2016-05-07,J18.0,3,31.0,23.53720459187964,3
2016-05-11,J18.0,1,3.0,0.0,2
2016-05-15,J18.0,1,4.0,0.0,3
2016-05-16,J18.0,2,3.0,2.0,4
2016-05-18,J18.0,3,21.666666666666668,29.227080289043965,4
2016-05-19,J18.0,1,55.0,0.0,4
2016-05-20,J18.0,1,1.0,0.0,4
2016-05-21,J18.0,1,76.0,0.0,3
2016-05-23,J18.0,1,1.0,0.0,6
2016-05-24,J18.0,1,2.0,0.0,2
2016-05-25,J18.0,1,6.0,0.0,5
2016-05-26,J18.0,1,3.0,0.0,3
2016-05-28,J18.0,1,1.0,0.0,1
2016-05-30,J18.0,1,11.0,0.0,5
2016-05-31,J18.0,2,1.5,0.5,6
2016-06-02,J18.0,2,29.0,28.0,5
2016-06-08,J18.0,1,1.0,0.0,6
2016-06-13,J18.0,2,31.5,25.5,4
2016-06-14,J18.0,2,28.0,25.0,2
2016-06-15,J18.0,1,1.0,0.0,4
2016-06-19,J18.0,1,50.0,0.0,3
2016-06-23,J18.0,1,1.0,0.0,6
2016-06-25,J18.0,1,5.0,0.0,3
2016-06-26,J18.0,1,74.0,0.0,3
2016-07-01,J18.0,1,1.0,0.0,4
2016-07-09,J18.0,1,2.0,0.0,5
2016-07-11,J18.0,1,4.0,0.0,7
2016-07-12,J18.0,1,4.0,0.0,4
2016-07-14,J18.0,1,48.0,0.0,7
2016-07-21,J18.0,2,32.5,30.5,4
2016-07-22,J18.0,1,1.0,0.0,2
2016-07-24,J18.0,1,2.0,0.0,3
2016-07-28,J18.0,1,1.0,0.0,3
2016-07-31,J18.0,1,7.0,0.0,3
2016-08-06,J18.0,1,3.0,0.0,4
2016-08-07,J18.0,1,78.0,0.0,2
2016-08-13,J18.0,1,1.0,0.0,7
2016-08-14,J18.0,1,70.0,0.0,5
2016-08-15,J18.0,1,1.0,0.0,4
2016-08-19,J18.0,1,56.0,0.0,4
2016-08-20,J18.0,1,4.0,0.0,3
2016-08-24,J18.0,1,28.0,0.0,4
2016-08-27,J18.0,1,60.0,0.0,4
2016-08-28,J18.0,1,9.0,0.0,7
2016-08-31,J18.0,1,57.0,0.0,4
2016-09-02,J18.0,1,2.0,0.0,6
2016-09-07,J18.0,2,5.5,3.5,4
2016-09-08,J18.0,2,17.5,17.5,4
2016-09-11,J18.0,1,0.0,0.0,7
2016-09-12,J18.0,1,1.0,0.0,6
2016-09-16,J18.0,2,3.5,0.5,6
2016-09-19,J18.0,2,29.0,25.0,3
2016-09-21,J18.0,1,1.0,0.0,2
2016-09-22,J18.0,2,1.5,0.5,3
2016-09-26,J18.0,2,5.5,4.5,4
2016-09-29,J18.0,1,14.0,0.0,4
2016-10-01,J18.0,2,0.5,0.5,6
2016-10-03,J18.0,1,4.0,0.0,3
2016-10-04,J18.0,2,24.5,23.5,3
2016-10-05,J18.0,1,3.0,0.0,4
2016-10-06,J18.0,1,1.0,0.0,1
2016-10-07,J18.0,1,7.0,0.0,3
2016-10-09,J18.0,1,1.0,0.0,3
2016-10-10,J18.0,1,3.0,0.0,5
2016-10-11,J18.0,1,0.0,0.0,7
2016-10-12,J18.0,1,0.0,0.0,2
2016-10-13,J18.0,1,30.0,0.0,7
2016-10-15,J18.0,2,5.0,2.0,2
2016-10-16,J18.0,2,34.5,33.5,6
2016-10-17,J18.0,1,2.0,0.0,7
2016-10-20,J18.0,2,0.5,0.5,6
2016-10-22,J18.0,1,3.0,0.0,7
2016-10-26,J18.0,1,1.0,0.0,3
2016-10-27,J18.0,2,20.0,20.0,6
2016-10-31,J18.0,3,4.0,4.242640687119285,3
2016-11-01,J18.0,1,2.0,0.0,4
2016-11-04,J18.0,1,2.0,0.0,3
2016-11-06,J18.0,2,38.0,36.0,3
2016-11-14,J18.0,2,28.5,27.5,6
2016-11-17,J18.0,1,1.0,0.0,4
2016-11-19,J18.0,1,74.0,0.0,5
2016-11-20,J18.0,2,2.5,2.5,5
